image	caption
/content/MediaEval_NewsImages/Training Dataset/UVFRVV5cU0d-XR8FAA5TDQhTQHlTSgVT.jpg	Ukraine searches for vulnerabilities in Russian defence The Ukrainian military intensifies its attacks on several front sections. The most violent battles take place at the border between the Saporoschje area and the DVR, at the same time the north of the LVR is attacked. What is Ukraine planning?
/content/MediaEval_NewsImages/Training Dataset/UVFRVA1VAUUpUUFXBgtSXFxURCpcHAZT.jpg	German entrepreneurs in gas shortages Only the areas of nutrition and health are excluded from the reduction of gas intake. Other producers can try to apply for exceptions as protective companies.
/content/MediaEval_NewsImages/Training Dataset/UVFRVAtaBkYpUUFXBgtQWQlQRH1RTgZW.jpg	Sex and the City – Lindemann and the Victorian Television The public broadcasters always provide accurate images of the abyss of German society. In particular, those who are self-contained by reality, but deeply submissive. Like in Hart but Fair on Lindemann.
/content/MediaEval_NewsImages/Training Dataset/UVFRVFBaVEZ-XR8FAA5UCgwDQHlTTF5X.jpg	Russian researchers develop new internal combustion engine for agricultural machinery Researchers at the Timirjasew Academy of Moscow In the case of the model, it is possible to dispense completely with maintenance and lubricant.
/content/MediaEval_NewsImages/Training Dataset/UVFRVAhaAxEpUUFXBgtWXl8GRXNQSQVU.jpg	Russia tests new internet browsers By the end of the year, the mobile browser Luna will be launched in Russia, which has domestic security certificates. He is currently in the test phase. The developers describe Luna as an alternative for fast and secure internet access.
/content/MediaEval_NewsImages/Training Dataset/UVFRVFEMUUMpUUFXBgtWX1RTRC0DTF4H.jpg	And they had courage – Edelweisspiratenfestival to commemorate the resistance in the Nazi era Under the motto And they had courage the 19. Edelweisspiraten Festival held in Cologne. In the Nazi period, disgusting young people from the working environment had secretly met in parks of Cologne. And yet, until the 1970s, they were defamed as sleamers and criminals. She is remembered at the music festival in the Peace Park.
/content/MediaEval_NewsImages/Training Dataset/UVFRVAhcVkUpUUFXBgtQUV1SRHtQSwJX.jpg	Armenian Prime Minister Paschinjan calls turning point in the Karabach war The loss of control over Schuschi by Yerevan in autumn 2020 was a turning point in the Karabach conflict, according to Paschinjan. He said this was an important reason why he signed a trilateral ceasefire agreement with Baku and Moscow.
/content/MediaEval_NewsImages/Training Dataset/UVFRVF4JBhN-XR8FAA5QCg9VR3JTTFQB.jpg	Teurer Nahverkehr: According to FDP politician Thomae, arms are supposed to go on foot Every sixth prisoner is in Germany for black driving. They are almost only very poor people. The left in the Bundestag therefore wants to abolish the crime as a criminal offence. The FDP is not very enthusiastic about it, because anyone who can't afford bus and train can't use it.
/content/MediaEval_NewsImages/Training Dataset/UVFRVAtcVxB-XR8FAA5UDVwAQHhWQAJR.jpg	Come to Moscow – Secret Service offers Ukrainian diplomats stay in Russia This was reported by RIA Nowosti on Tuesday, referring to a communication from the Authority.
/content/MediaEval_NewsImages/Training Dataset/UVFRVAxaURApUUFXBgtSXFxVRHhTTFRc.jpg	Borrell: EU lacks critical resources for the production of ammunition for Ukraine The EU must import important resources to produce the ammunition it sends to Ukraine, told European diplomacy chief Josep Borrell. He believes that this undermines the economic autonomy of the European Union.
/content/MediaEval_NewsImages/Training Dataset/UVFRVAhVVUEpUUFXBgtRWw5URS1XGwRS.jpg	Court decision: Memorial stone of the Free Saxony may remain In the case of a ‘preview’, align=‘left’ style=‘margin-right: 10px ’ src=‘https://mf.b37mrtl.ru/english/images/2023.06/thumbnail/6491a803b480cc42c17f2bc7.jpg’, the memorial stone of the party Freiepf.
/content/MediaEval_NewsImages/Training Dataset/UVFRVAheVBYpUUFXBgtQUV1SRHtQSwJQ.jpg	China welcomes extension of the BRICS Group China welcomes the soon accession of equal partner to the BRICS group. Beijing considered the BRICS coalition as an important place for cooperation between developing and emerging countries, said the spokesman of the Chinese Ministry of Foreign Affairs, Mao Ning.
/content/MediaEval_NewsImages/Training Dataset/UVFRVA1dXEIpUUFXBgtQWAhRQH5cTwIH.jpg	Trump: My conversation with Putin delayed start of the special operation by several years Former US President Donald Trump has declared that in one of his talks with Russian President Vladimir Putin he warned against the short consequences of the conflict in Ukraine. Trump spoke to Putin last July 2020.
/content/MediaEval_NewsImages/Training Dataset/UVFRV1lYUkcpUUFXBgtQWAlWR3NWHFdd.jpg	Turn right in Finland – Petteri Orpo new Prime Minister Finland has released a new prime minister – Petteri Orpo This will certainly not change anything about the increasingly NATO-friendly foreign policy.
/content/MediaEval_NewsImages/Training Dataset/UVFRVFEIUUt-XR8FAA5RWVxTRXsAT1NW.jpg	That, brother, that's why war – The 25th anniversary of Gerhard Gundermann's death June, the anniversary of the death of East German songwriter Gerhard Gundermann. The poet and class fighter scorned the GDR and then the hostes of the 1990s from the view of the small people – and for them. This red thread keeps his work brand-new to this day: system criticism from below.
/content/MediaEval_NewsImages/Training Dataset/UVFRV1AMVEEpUUFXBgtSXghWRilXT1Rc.jpg	Dive boat drama: search teams have spotted knocking noises According to information from participating U.S. authorities were caught on Tuesday in the North Atlantic These could indicate the missing expedition dive boat. In 2018, an employee of the diving boat company expressed safety concerns and was released.
/content/MediaEval_NewsImages/Training Dataset/UVFRVwhVURMpUUFXBgtSXFsGQCpWGlRT.jpg	Air defense dispute: Macron wants to emanate Europe in US arms issues While Berlin wants to invest in systems such as US patriots and Israeli Arrow 3, Macron calls for Europe to emanate from the US in arms issues.
/content/MediaEval_NewsImages/Training Dataset/UVFRVwsPUBd-XR8FAA5UCgkARXMBGwZX.jpg	Causa Gil Ofarim und üble Nachrede: Process start this year The singer Gil Ofarim claimed in 2021 that he was anti-Semitic in a Leipzig hotel. Investigations showed a different overall picture. Now Ofarim has to appear in court even in November.
/content/MediaEval_NewsImages/Training Dataset/UVFRVw1dBEQpUUFXBgtXXg9QQ35cTVVX.jpg	Booking errors?: Pentagon overestimates military aid for Ukraine by six billion US dollars The U.S. Department of Defense has overestimated military aid for Ukraine by more than $6 billion. The reason is booking errors that were discovered during a review. Now Washington can spend more money on Kiev's support.
/content/MediaEval_NewsImages/Training Dataset/UVFRVwtaXEV-XR8FAA5UCgwDQHlTTAFV.jpg	Iranian Foreign Minister visits Oman: Indirect talks with the United States win The top Iranian diplomat traveled to Oman to apparently continue further indirect talks with the United States. Tehran and Washington are supposed to have held negotiations on the Tehran nuclear programme in May for an interim agreement in the mask.
/content/MediaEval_NewsImages/Training Dataset/UVFRV1BVVEN-XR8FAA5QCg9VR3JTTAZc.jpg	Preventive nuclear strike? Russia debates proposal of an ex-cretory advisor The appeal of a former advisor to Vladimir Putin and Boris Jelzin to use nuclear weapons to deter NATO has led to violent debates in Russia. But using an atomic war to save the world is like using a guillotine against headaches, a Russian expert said.
/content/MediaEval_NewsImages/Training Dataset/UVFRVwxcV0N-XR8FAA5UDF0BRn0ESV4B.jpg	FDP Fractional Vice Lambsdorff becomes new German ambassador in Russia Alexander Graf Lambsdorff is a new German ambassador in Russia. This summer, he's supposed to start his service. For his work in Moscow, he first imposed himself on public restraint.
/content/MediaEval_NewsImages/Training Dataset/UVFRVwxbUUd-XR8FAA5UCAlXQHwAGgEE.jpg	China record oil imports from Russia Although records for the empire are almost an all-day Lastly, China has set a new top mark for oil imports from Russia with 9,71 million tonnes of crude oil in May this year.
/content/MediaEval_NewsImages/Training Dataset/UVFRVw1ZU0Z-XR8FAA5QCg9VR3JTTANV.jpg	Honduras: Dozens of dead in riots in women’s prison – President announces drastic measures After confrontations in a women's prison, Honduras is in shock. 41 prisoners were killed in the detention centre near the capital Tegucigalpa. Xiomara Castro, the president of the Central American country, announces drastic measures.
/content/MediaEval_NewsImages/Training Dataset/UVFRVAxaUUZ-XR8FAA5TDFUAQ3JUGwUB.jpg	Hungary's Foreign Minister rejects accusations of Kiev to transfer prisoners The Hungarian Foreign Minister Szijjártó described the accusations of his Ukrainian counterpart to the release of prisoners. Kuleba had claimed that this was in the political interest of the Prime Minister of Hungary.
/content/MediaEval_NewsImages/Training Dataset/UVFRVwteVxB-XR8FAA5RXQgERn0BSlEA.jpg	Meat ban and Russian hatred - How the Nazi roots of the Greens reflect in their policy A recommendation that almost a ban on meat was established by Hitler Germany A draft law that makes children's bodies an experimental field – and subdued Russian hat. What's all this together?
/content/MediaEval_NewsImages/Training Dataset/UVFRVwxeU0N-XR8FAA5UCAlXQHwAGgID.jpg	Mali initiates spy proceedings against a UN consultant The influence of the West in Africa disappears. After the withdrawal of French troops from Mali, the Malian government now embarked on the UN peace mission (MINUSMA) led by the Western states. In Mali, the population voted on constitutional changes last week.
/content/MediaEval_NewsImages/Training Dataset/UVFRVllcVEEpUUFXBgtXXg9QQ35cTVJX.jpg	Divers and ethically correct content – Saxony's government promotes alternative porn site Genderwahn always drives more and more scurrile flowers – also in the porn industry. In Saxony, the state government now promotes a supposedly alternative porn site with tax money. The criticism of it does not remain.
/content/MediaEval_NewsImages/Training Dataset/UVFRVwhUVEB-XR8FAA5RXQgERn0BSlID.jpg	Biden Stamps Chinese President Xi Jinping as Dictator US President Joe Biden has designated Chinese Head of State Xi Jinping as Diator The statement came after US Foreign Minister Antony Blinken visited Beijing to discuss bilateral relations. According to Beijing, these are on a low level.
/content/MediaEval_NewsImages/Training Dataset/UVFRVllcBhB-XR8FAA5UCAlXQHwAHVcG.jpg	China supports Argentina in territorial dispute with Great Britain around Falkland Islands For decades, the territorial dispute surrounding the Falkland Islands has burdened the relationship between Argentina and the UK. China is disturbing the heavy effects of the conflict on the world order and calling for a peaceful solution based on conversations.
/content/MediaEval_NewsImages/Training Dataset/UVFRVw0PU0t-XR8FAA5UClpXQntQTVNU.jpg	BlackRock employees: You have $10,000? You can buy a US senator A video recording is currently appalling the US company on the subject of the hidden power of asset manager BlackRock. The collaborator, like the Causa Pfizer-Leaks, impresses with completely unsightly statements. For example, Ukraine is good for business by BlackRock, US politicians are easy to buy. The company has so far faded.
